horse_id,horse_name,jockey,horse_number,frame_number,odds,win_probability,place_probability,expected_value,confidence_score
1,ピューロマジック,松山弘平,1,1,5.0,33.32485775032823,49.82914492814693,66.62428875164115,0.8621052631578947
2,ヨシノイースター,内田博幸,2,1,5.0,30.620882573152514,46.41164512661105,53.104412865762576,0.8494736842105262
3,ダノンマッキンリー,横山典弘,3,2,5.0,29.679152773671362,29.549453262810342,48.39576386835682,0.8557894736842104
4,ママコチャ,岩田望来,4,2,5.0,68.48832406763839,63.46707934367378,200.0,0.868421052631579
5,カンチェンジュンガ,坂井瑠星,5,3,5.0,41.16214487125071,48.157323357403655,105.81072435625356,0.874736842105263
6,ナムラクレア,ルメール,6,3,5.0,64.67505121299891,73.61208631545442,200.0,0.8621052631578947
7,サトノレーヴ,モレイラ,7,4,5.0,81.30975621909377,72.56686157037507,200.0,0.8494736842105262
8,ペアポルックス,松若風馬,8,4,5.0,48.200539394721034,55.038133565483925,141.00269697360517,0.8494736842105262
9,ドロップオブライト,丹内祐次,9,5,5.0,36.193410445018095,49.83815891563146,80.96705222509047,0.874736842105263
10,ラッキースワイネス,リョン,10,5,5.0,41.09244383988711,42.456997079164296,105.46221919943557,0.8431578947368421
11,トウシンマカオ,横山武史,11,6,5.0,68.95383513217291,52.37543790883237,200.0,0.8621052631578947
12,ヤマニンアルリフラ,団野大成,12,6,5.0,53.914477813365394,51.88362676435181,169.57238906682696,0.8494736842105262
13,ジューンブレア,武豊,13,7,5.0,74.73054736885678,61.12577337611063,200.0,0.8557894736842104
14,カピリナ,戸崎圭太,14,7,5.0,55.423823268297376,58.29745960226526,177.11911634148692,0.8621052631578947
15,ルガル,川田将雅,15,8,5.0,39.68897477157504,58.983297446922236,98.44487385787521,0.8494736842105262
16,ウインカーネリアン,三浦皇成,16,8,5.0,23.75293634174488,38.68046062194193,18.764681708724407,0.8557894736842104
