騎手,勝率,連対率,複勝率
イーガン,0.14728682170542637,0.26356589147286824,0.3798449612403101
ウィリア,0.0,0.2222222222222222,0.3333333333333333
オシェア,0.04477611940298507,0.1044776119402985,0.14925373134328357
キング,0.11888111888111888,0.2097902097902098,0.32867132867132864
キングス,0.07042253521126761,0.18309859154929578,0.2676056338028169
ギュイヨ,0.2,0.2,0.2
グラハム,0.0,0.0,0.0
サンチア,0.0,0.0,0.0
シュタル,0.09473684210526316,0.15789473684210525,0.29473684210526313
スミヨン,0.0,0.16666666666666666,0.3333333333333333
ティータ,0.09090909090909091,0.09090909090909091,0.09090909090909091
デットー,0.375,0.625,0.625
ドイル,0.061224489795918366,0.1292517006802721,0.20068027210884354
バシュロ,0.102803738317757,0.2616822429906542,0.38317757009345793
バデル,0.125,0.125,0.125
パコー,0.0,0.0,0.1111111111111111
パートン,0.0,0.0,0.0
ヒューイ,0.12666666666666668,0.22666666666666666,0.3333333333333333
ビュイッ,0.20754716981132076,0.37735849056603776,0.4339622641509434
ピーヒュ,0.046511627906976744,0.11627906976744186,0.19767441860465115
フォーリ,0.047619047619047616,0.12380952380952381,0.22857142857142856
ブノワ,0.0,0.0,0.2
ホー,0.07777777777777778,0.14444444444444443,0.2111111111111111
マクドナ,0.25,0.5,0.5
マーカン,0.13736263736263737,0.25,0.3543956043956044
マーフィ,0.27835051546391754,0.422680412371134,0.5567010309278351
ミシェル,0.0,0.0,0.0
ミナリク,0.049723756906077346,0.08839779005524862,0.12154696132596685
ムルザバ,0.12944162436548223,0.23604060913705585,0.3350253807106599
ムーア,0.16774193548387098,0.3096774193548387,0.4
モリス,0.012658227848101266,0.05063291139240506,0.13924050632911392
モレイラ,0.26,0.4633333333333333,0.5566666666666666
リスポリ,0.0,0.07142857142857142,0.21428571428571427
リョン,0.0,0.0,0.25
ルメート,0.11188811188811189,0.23076923076923078,0.34265734265734266
ルメール,0.2505875440658049,0.4218566392479436,0.5373090481786134
レーン,0.21653543307086615,0.3700787401574803,0.4881889763779528
ヴェロン,0.14285714285714285,0.14285714285714285,0.14285714285714285
七夕裕次,0.0,0.0,0.5
三津谷隼,0.04597701149425287,0.09195402298850575,0.1839080459770115
三浦皇成,0.09230769230769231,0.20502354788069074,0.3020408163265306
上野翔,0.08530805687203792,0.16587677725118483,0.25829383886255924
下原理,0.0,0.0,0.0
中井裕二,0.04315886134067952,0.09366391184573003,0.14049586776859505
中村将之,0.07339449541284404,0.14678899082568808,0.22935779816513763
中谷雄太,0.02912621359223301,0.06796116504854369,0.11650485436893204
丸山元気,0.05299806576402321,0.12030947775628627,0.20077369439071566
丸田恭介,0.032663316582914576,0.07839195979899498,0.13417085427135678
丸野勝虎,0.0,0.0,0.0
丹内祐次,0.06285572878000495,0.14946795347686218,0.23707003217025488
亀田温心,0.052655265526552655,0.11251125112511251,0.16966696669666967
五十嵐雄,0.09821428571428571,0.203125,0.3169642857142857
井上敏樹,0.010362694300518135,0.02072538860103627,0.05699481865284974
今村聖奈,0.06411258795934324,0.13213448006254885,0.19859265050820954
仲原大生,0.0,0.0,0.0
仲野光馬,0.0,0.0,0.0
伊藤工真,0.04086021505376344,0.07956989247311828,0.12043010752688173
伴啓太,0.08241758241758242,0.17857142857142858,0.2664835164835165
佐々木大,0.0847084708470847,0.15676567656765678,0.24587458745874588
佐久間寛,0.05263157894736842,0.10526315789473684,0.18421052631578946
佐藤友則,0.05,0.1,0.1
佐藤翔馬,0.010723860589812333,0.0160857908847185,0.05093833780160858
倉富隆一,0.0,0.0,0.0
内田博幸,0.046153846153846156,0.10153846153846154,0.15897435897435896
出水拓人,0.0,0.0,0.0
加茂飛翔,0.0,0.0,0.0
加藤和博,0.0,0.0,0.0
加藤祥太,0.026490066225165563,0.06291390728476821,0.09437086092715231
加藤翔馬,0.0,0.0,0.0
加藤聡一,0.0,0.0,0.0
勝浦正樹,0.04456448345712356,0.09925725860904794,0.15800135043889263
北村友一,0.09587628865979382,0.18505154639175259,0.2757731958762887
北村宏司,0.06099903938520653,0.12584053794428435,0.20509125840537945
北沢伸也,0.08641975308641975,0.18930041152263374,0.2839506172839506
原優介,0.031401869158878506,0.07514018691588785,0.12672897196261682
原田和真,0.009259259259259259,0.032407407407407406,0.06635802469135803
及川烈,0.0,0.0,0.0
古川吉洋,0.036468330134357005,0.09309021113243762,0.15738963531669867
古川奈穂,0.060786650774731825,0.12753277711561384,0.16805721096543505
吉井章,0.5,0.5,0.5
吉原寛人,0.0,0.0,0.14285714285714285
吉本隆記,0.0,0.0,0.0
吉村智洋,0.024096385542168676,0.060240963855421686,0.0963855421686747
吉村誠之,0.058098591549295774,0.11619718309859155,0.18661971830985916
吉田豊,0.04755372656607224,0.10470964791952446,0.17695473251028807
吉田隼人,0.10562913907284768,0.20463576158940397,0.2900662251655629
和田竜二,0.05919080919080919,0.14535464535464535,0.233016983016983
和田翼,0.011204481792717087,0.04481792717086835,0.08683473389355742
和田譲治,0.0,0.0,0.0
嘉藤貴行,0.00946372239747634,0.03470031545741325,0.056782334384858045
四位洋文,0.06521739130434782,0.15217391304347827,0.21739130434782608
団野大成,0.07292255511588468,0.16167326172979085,0.2430751837196156
国分優作,0.02951002227171492,0.06180400890868597,0.11191536748329621
国分恭介,0.036585365853658534,0.08292682926829269,0.15
土方颯太,0.0,0.0,0.0
土田真翔,0.0035587188612099642,0.021352313167259787,0.03914590747330961
坂井瑠星,0.12138052062006435,0.22784439894706054,0.324656332260895
坂口智康,0.05263157894736842,0.10526315789473684,0.2631578947368421
城戸義政,0.016518424396442185,0.05844980940279543,0.09275730622617535
塚本雄大,0.0,0.5,1.0
大久保友,0.010676156583629894,0.028469750889679714,0.05338078291814947
大塚海渡,0.0,0.0,0.0
大山龍太,0.0,0.5,0.5
大庭和弥,0.01824817518248175,0.058394160583941604,0.10583941605839416
大木天翔,0.0,0.0,0.25
大江原圭,0.05660377358490566,0.12398921832884097,0.19137466307277629
大江原比,0.02040816326530612,0.05612244897959184,0.09183673469387756
大畑慧悟,0.0,0.0,0.0
大畑雅章,0.0,0.0,0.0
大野拓弥,0.05658504301786896,0.12210456651224355,0.20251489080079418
太宰啓介,0.032520325203252036,0.07073170731707316,0.13739837398373983
室陽一朗,0.5,0.5,0.5
宮崎北斗,0.0406885758998435,0.06103286384976526,0.10641627543035993
宮川実,0.0,0.0,0.0
富田暁,0.05191360363774157,0.10761652140962485,0.1724137931034483
小坂忠士,0.09392265193370165,0.2154696132596685,0.30386740331491713
小崎綾也,0.02664298401420959,0.07726465364120781,0.1349911190053286
小松丈二,0.0,0.0,0.0
小林凌大,0.03169469598965071,0.06597671410090557,0.1093143596377749
小林勝太,0.03927813163481953,0.07430997876857749,0.12208067940552017
小林美駒,0.05244122965641953,0.10488245931283906,0.16636528028933092
小林脩斗,0.0280437756497948,0.06087551299589603,0.09849521203830369
